Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
que se deje de lentear a cada rato que de la nada se cierre que cuando ponga una contrasena me diga si es o no correcta en vez de decir que ha ocurrido un error;funcionalidad;inestabilidad;Sin categoría N3;negativo;35;Sí
mucho se cuelga el aplicativo;funcionalidad;inestabilidad;Sin categoría N3;neutral;5;Sí
sugiero mejorar el aplicativo del bcp ej en bbva desde un solo equipo celular puede usar diferentes usuarios toda la familia equipo que permanece en casa cada usuario puede ingresas indicando su dni y su clave personal que difiere de los otros usuarios;otros;agencias;capacidad de solucion;neutral;43;Sí
mas seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;2;Sí
nome dejan realizar transferencias;funcionalidad;operaciones;Sin categoría N3;neutral;4;Sí
ras rapido;otros;comentarios positivos;Sin categoría N3;positivo;2;Sí
no entiendo porque me pude a realizar mi token ya estuve haciendo transferencia sin ningun problema hace 3 dias me indica que mi token vencio hasta ahora no puedo actualizar y por ende no puedo realizar transferencias;funcionalidad;token;no funciona;neutral;37;Sí
yo quiero hablar con personas no con maquinas;otros;agencias;Sin categoría N3;neutral;8;Sí
rapidez;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;1;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
algo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no me dejo usar mi token deben arreglar eso;funcionalidad;token;Sin categoría N3;neutral;9;Sí
en as personal porque nadies te quiere ayudar;otros;agencias;Sin categoría N3;neutral;8;Sí
al comienzo normal hacia las transferencias ahora no puedo hacer a ninguna cuenta que no este entre mis faboritos;funcionalidad;operaciones;no puede realizar no especificado;neutral;19;Sí
no medio ayuda ni soporte para pagar;otros;informacion;Sin categoría N3;neutral;7;Sí
en atender rapido;otros;comentarios positivos;Sin categoría N3;positivo;3;Sí
darme un prestamo;otros;prestamos;no hay campanas;neutral;3;Sí
que no esconda la tarjeta de mi vista no se que hacia con mi tarjeta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;15;Sí
ultimamente se ha estado haciendo dificil hacer las transferencias no me permitio durante dias hacer transferencias no me gusto que ofrecieran una tarjeta de credito donde me dijeron que todo pago me sumaria puntos y a la hora de la hora no me suman pagos de estudios y otros pagos fue muy frustante que a un inicio hice movimientos y no me sumaran puntos y peor aun que cada 2 dolares recien hacen 1 punto por eso ya no utilizo mucho la tarjeta de credito por lo limitado de beneficios que se tiene en cuanto a la atencion del cliente en llamadas demoran para que a uno lo atiendan esos puntos creo que podrian mejorar confio en que mejoraran esos aspectos;otros;agencias;capacidad de solucion;negativo;121;Sí
en la aplicacion de tarjetas deberian de tener la opcion de habilitar o deshabilitarlo en las tarjetas de debito y credito para dejarlas temporalmente fuera de uso o servicio y no estar preocupado de estar conectados a la web para ver que alguien este utilizando nuestras tarjetas mientras estamos laborando;otros;prestamos;Sin categoría N3;neutral;50;Sí
la notificaciones en la app siempre sale erro y deberia tener la opcion de huella digital para ingresar a la app;funcionalidad;login;no puede ingresar;neutral;21;Sí
el cajero para depositar dinero la mayor parte del tiempo esta inoperativo;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;12;Sí
no deberian cobrar cuando se realiza transferencias a otros bancos;tarifas;comision;Sin categoría N3;neutral;10;Sí
muy descortes;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
el monto maximo a transferir gratis es 500 siendo uno de los pocos bancos que no se acoge a este beneficio espero tomen en cuenta y puedan mejorar;tarifas;comision;transferencia;neutral;28;Sí
alumnos caseros de depositos no funciona;otros;cajero;Sin categoría N3;neutral;6;Sí
todo bien pero cuando quiero habilitar las compras de mi celular en internet no me deja me dice que mi tarjeta no puede realizar esa accion y cuando entre a mi banca movil bcp para habilitar termino de poner lo que me piden y me aparece ups vuelve a intentarlo mas tarde;funcionalidad;operaciones;no puede realizar no especificado;neutral;52;Sí
no notifican los movimientos que se realiza cuando hago algun consumo no me llega ninguna notificacion;funcionalidad;constancias;no llega;neutral;16;Sí
quiero saber porque cuando hago una compra me cobran de mas las dos ultimas veces compre vuelosy me cobraron 50 soles de mas y me dijieron que era por el banco las prmeras veces no paso esoquisiera saber a que se debe esr cobro de mas;seguridad;Sin categoría N2;Sin categoría N3;neutral;46;Sí
0;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
deberian actualizar para ingresar con la huella y tambien cuando se da clic en una operacion deberia de mostrar el voucher;funcionalidad;login;no puede ingresar;neutral;21;Sí
mas rapida atencion;otros;reclamos;Sin categoría N3;neutral;3;Sí
no me atendieron;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
tener idea que productos ofrecen otros bancos al lado por ejemplo pregunte por cuentas de ahorros para adolescentes que scotiabank ofrece pero la senora que me atendio me miraba como si fuera loca de solo preguntar por alguna cuenta para menores de edad en suiza casi cada bebe ya los paps o padrinos le abran una cuenta de ahorrosz;otros;embargo de dinero;Sin categoría N3;neutral;59;Sí
renovar al toque los prestamos;otros;prestamos;no hay campanas;neutral;5;Sí
deben resolver el problema que se les indica;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;8;Sí
me dijeron que me llamarian y nunca lo hicieron;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;9;Sí
ultimamente siempre enta en mantenimientoreparacion y no se puede usar;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;10;Sí
yape te piden actualizar;funcionalidad;operaciones;no puede realizar servicing;neutral;4;Sí
cero;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
me mintieron no me dieron la solucion para dar de baja el seguro de oncosalud;seguridad;Sin categoría N2;Sin categoría N3;neutral;15;Sí
seguridad en nuestro dinero y el trato a los usuarios hay mucha discriminacion son muy alzados;seguridad;prevencion de fraudes;Sin categoría N3;neutral;16;Sí
bajar interes de prestamo;otros;prestamos;no hay campanas;neutral;4;Sí
un pesimo servicio;funcionalidad;inestabilidad;mantenimiento;negativo;3;Sí
deberia poder descargar mis movimientos en otros formatos como excel deberia poderver en una sola pantalla mis cuentas osea en vertical ahora solo entran dos cuentas en horizontal y hay que darle masclicks para ver tageta de credito tambien;otros;prestamos;Sin categoría N3;neutral;39;Sí
en su personal que sean honestos al momento de bloquear las tarjetas porque no nos entregan todo el deposito que tenemos antes de ser bloqueada la tarjeta;otros;agencias;Sin categoría N3;neutral;27;Sí
no me funciona hace meses no puedo transferir cambiar la configuracion ni hacer pagos por la banca no me han ayudado por whatsapp es decir la app no me sirve mas que para mirar mi saldo y yapear;funcionalidad;operaciones;no puede realizar monetarias;neutral;38;Sí
si;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
cargar mas rapido la pagina o app;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
tienen un buen servicio;funcionalidad;inestabilidad;mantenimiento;neutral;4;Sí
todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
muy mala aplicacion;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;3;Sí
con la app especificamente no es con el servicio fui a hacer una compra quise pagar y me salio un mensaje que no podia pagar que me comunique con el banco sin embargo en mis movimientos sale descontado el monto me comunique por whatsapp y no me dieron solucion;tarifas;comision;Sin categoría N3;neutral;49;Sí
al yapear desde banca movil cobra comision deberia ser lo mismo que usar el app de yape;funcionalidad;operaciones;Sin categoría N3;neutral;17;Sí
en el aplicativo cuando se realiza una operacion se escribe un detalle el cual no se aprecia en el aplicativo deberia permitir programar alertas que te avisen de pagos futuros;funcionalidad;notificaciones;Sin categoría N3;neutral;30;Sí
el lunes 2 de dic la agencia empezo atender a las 910 am y se su pone q atienden a las 9 am eso perjudica a las personas q tienen q hacer otras gestiones;otros;agencias;Sin categoría N3;neutral;34;Sí
que siempre tiene que estar disponible porque ahora mas utilizamos pagos por internet;funcionalidad;inestabilidad;mantenimiento;neutral;13;Sí
que falta de criterio mandar recordatorios de sus encuestas casi a la 1 am;otros;Sin categoría N2;Sin categoría N3;neutral;14;Sí
embargaron mi cuenta pero no hay detalles de la operacion o entidad que solicito el embargo;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;16;Sí
en responder mas al atencion al cliente en gmail;otros;reclamos;Sin categoría N3;neutral;9;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
sale error no puedo transferir a otras cuentas;funcionalidad;operaciones;no puede realizar monetarias;negativo;8;Sí
ok;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
mejorar los errores de renovacion de token digital;funcionalidad;token;Sin categoría N3;neutral;8;Sí
que vuelva la version anterior;diseno;Sin categoría N2;Sin categoría N3;neutral;5;Sí
